Name,Value1,Value2
body,92.46,99.99
bottle,88.23,93.54
bottle_cap,0,0
box,89.87,98.61
cable,92.46,98.52
car,0,0
carpet,67.78,97.63
chair,94.44,98.23
cup,0,0
door_braces,0,0
fabric,0,0
key,0,0
mass,98.14,86.67
pedestal,78.26,99.99
pericarp,83.33,99.99
pet,0,0
phone,97.43,92.50
pot,0,0
potted_plant,99.99,99.99
purse,0,0
shelving,0,0
shoe,86.56,99.99
small_shrine,0,0
socket,97.22,99.99
spacer_bar,95.56,91.66
stair,99.99,99.99
straw,93.45,96.78
table,0,0
tie,70.59,98.21
trolley,0,0
vertical_billboard,0,0
waste_bin,0,0
